NAME,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
Grace Tadrous,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristin Ford,2015,1.3,1.5,2.8,2.3,0.9,1.8,0.5,1.0,0.1
Tessa Ratzlaff,2015,2.1,2.6,4.8,2.7,0.5,1.8,0.3,0.8,0.3
Jenna Bracken,2015,0.4,0.3,0.7,0.2,0.3,0.2,1.5,0.3,0.0
Kamila Wojciechowski,2015,0.5,0.4,0.9,0.4,0.3,0.3,1.0,0.0,0.0
Cassandra Knievel,2015,0.3,2.9,3.2,1.9,2.9,1.4,2.0,1.4,0.5
Hilary Wood,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherub Lum,2015,0.3,0.8,1.1,0.8,1.9,1.1,1.8,0.9,0.1
Diana Lee,2015,0.3,1.9,2.2,1.4,4.3,1.1,3.9,1.6,0.1
Kris Young,2015,1.8,5.0,6.8,1.6,2.8,2.1,1.3,1.8,0.8
Stephanie Bell,2015,0.8,1.1,1.9,1.4,0.5,0.9,0.5,0.6,0.1
Kara Spotton,2015,1.4,1.6,3.0,2.1,0.3,0.9,0.4,0.8,0.8
Adrienne Parkin,2015,1.4,3.1,4.5,1.5,1.1,2.0,0.6,1.1,0.4
Lauren Seabrook,2015,0.5,1.0,1.5,1.2,0.3,0.6,0.5,0.1,0.2
Andrea Strujic,2015,0.6,0.8,1.4,0.8,0.1,0.4,0.3,0.1,0.1
Susan Thompson,2015,0.1,0.7,0.9,0.7,0.1,0.3,0.5,0.0,0.3
Harleen Sidhu,2015,2.8,4.0,6.8,1.6,1.3,1.9,0.7,1.4,0.9
Vanessa Botteselle,2015,0.5,1.3,1.8,1.2,0.9,1.7,0.5,0.9,0.1
Emily Kanester,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michaela England,2015,0.5,0.9,1.4,0.4,0.2,0.4,0.5,0.2,0.3
Jessica Jazdarehee,2015,2.6,3.8,6.4,2.4,1.1,3.0,0.4,1.0,0.2
Shenelle Tamminen,2015,0.7,1.8,2.5,2.1,1.1,1.6,0.7,1.1,0.3
Kayla McFadden,2015,1.2,3.7,4.9,2.6,0.9,1.6,0.6,1.4,0.3
Haylie Gibb,2015,0.2,0.7,0.9,1.1,0.2,0.9,0.2,0.0,0.2
Olivia Johnson,2015,1.5,1.4,2.8,2.5,1.2,1.3,0.9,1.5,0.0
Sarah Allison,2015,0.8,1.8,2.6,2.3,2.3,1.8,1.3,1.5,0.0
Tia Sadler,2015,0.4,0.7,1.1,0.5,0.2,0.6,0.3,0.4,0.2
Claire Elliott,2015,1.3,3.3,4.5,2.4,2.1,1.8,1.2,2.1,0.1
Rachel Knoll,2015,0.7,0.3,1.0,0.0,0.0,0.3,0.0,0.3,0.0
Angela White,2015,1.6,2.5,4.1,2.5,1.4,1.9,0.8,1.8,0.2
Robyn Aulin-Haynes,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nataliia Gavryliuk,2015,0.4,5.0,5.4,2.5,2.9,4.5,0.7,1.8,0.4
Kendra Arnold,2015,0.1,0.9,1.0,1.0,0.7,1.4,0.5,0.5,0.1
Shayna Litman,2015,1.4,3.8,5.1,1.8,0.3,2.4,0.1,0.6,0.1
Jenika Bannerman,2015,0.8,1.1,1.9,0.8,0.7,0.8,0.8,0.3,0.1
Sarah Wierks,2015,6.1,9.3,15.3,2.6,2.1,3.0,0.7,1.9,2.1
Kaitlyn McDonald,2015,0.3,1.1,1.4,2.0,0.8,1.8,0.4,0.5,0.0
Hailey Kendall,2015,1.6,2.5,4.0,1.7,1.3,1.9,0.6,1.6,0.1
Daniella Vanbergen,2015,0.2,0.6,0.8,0.7,0.4,1.3,0.3,0.1,0.0
Sara Kurath,2015,0.0,1.0,1.0,1.1,0.4,0.2,2.0,0.2,0.0
Celeste Dyck,2015,0.3,3.1,3.4,2.3,4.3,4.7,0.9,2.3,0.1
Kaitlyn Brink,2015,2.2,3.4,5.6,3.4,1.5,3.1,0.5,1.1,0.8
Chantal Ewert,2015,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylie Pozniak,2015,0.6,1.9,2.5,1.8,1.1,1.4,0.7,0.7,0.1
Sarah Buckingham,2015,0.4,1.6,2.0,1.3,0.9,2.2,0.4,0.8,0.0
Cassie Rerick,2015,0.6,1.6,2.2,2.6,1.8,4.4,0.4,1.4,0.1
Stacey Graham,2015,0.2,0.4,0.5,0.5,0.1,1.0,0.1,0.1,0.0
Mavia Nijjer,2015,0.1,0.8,0.8,1.4,0.8,1.8,0.5,0.4,0.1
Sarah Robin,2015,1.1,3.4,4.4,2.1,1.8,3.1,0.6,1.8,0.1
Nicole Boon,2015,0.0,0.0,0.0,0.2,0.0,0.7,0.0,0.2,0.0
Kellieanne Fluit,2015,0.7,2.6,3.3,2.5,0.8,1.4,0.6,0.3,0.1
Emily Aase,2015,1.2,3.6,4.8,1.1,0.4,1.4,0.3,0.2,0.8
Vasiliki Louka,2015,2.0,6.3,8.4,2.0,1.6,4.2,0.4,0.9,2.0
Hannah Pudlas,2015,0.8,1.9,2.7,1.4,0.8,3.5,0.2,0.6,0.3
Jasprit Nijjar,2015,1.7,4.5,6.2,2.6,1.0,2.9,0.3,0.6,0.3
Eleni Steriopoulou,2015,0.5,0.8,1.3,1.3,0.3,1.2,0.3,0.7,0.1
Carly Corrado,2015,0.0,0.2,0.2,0.3,0.4,0.3,1.3,0.3,0.0
Marisa Harrington,2015,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Cassandra Goodis,2015,0.8,3.3,4.2,1.9,6.6,3.4,1.9,2.5,0.3
Amira Giannattasio,2015,0.6,1.8,2.3,1.5,0.8,1.1,0.7,1.0,0.0
Jessica Renfrew,2015,1.4,3.0,4.5,1.9,1.4,2.0,0.7,1.3,0.1
Emily Jentsch,2015,0.2,0.8,1.0,0.6,0.1,0.5,0.2,0.1,0.0
Jenna Krug,2015,0.8,1.1,1.9,0.8,0.9,0.5,1.9,0.3,0.0
Shaylyn Crisp,2015,0.9,2.0,2.9,1.7,1.5,1.1,1.3,1.1,0.2
Ashley McGinnis,2015,0.3,0.7,1.0,0.6,0.3,0.5,0.7,0.1,0.0
Sherrie Errico,2015,0.3,0.3,0.5,0.3,0.3,0.0,0.0,0.0,0.0
Nicole Karstein,2015,1.4,3.5,5.0,3.0,0.6,1.6,0.4,0.4,0.8
Amy Sprangers,2015,0.7,1.2,1.8,1.4,0.2,0.6,0.4,0.1,0.0
Kristy Gallagher,2015,0.2,0.4,0.6,0.5,0.4,0.3,1.2,0.1,0.0
Jenna Bugiardini,2015,3.0,3.9,6.9,2.0,1.9,2.5,0.8,0.8,0.6
Whitney Hamilton,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paige Thomson,2015,0.2,0.4,0.6,0.7,0.2,0.3,0.8,0.0,0.0
Lucija Golubic,2015,0.4,0.5,0.8,0.5,0.1,0.6,0.1,0.1,0.0
Stephanie Kleysen,2015,2.9,3.8,6.7,2.2,3.2,2.8,1.1,2.8,0.4
Brittania Brown,2015,0.7,0.6,1.3,0.8,0.3,0.8,0.4,0.8,0.0
Samantha Donald,2015,1.1,2.2,3.4,2.8,4.3,3.9,1.1,1.9,0.1
Megan Noonan,2015,1.3,2.1,3.4,2.2,2.5,2.2,1.2,2.6,0.1
Kerri Kuzbyt,2015,0.4,2.1,2.5,2.2,3.1,1.4,2.1,1.5,0.0
Katie Hastings-Van,2015,0.0,0.7,0.7,0.8,0.0,0.3,0.0,0.0,0.0
Jasmine Ibrahim,2015,0.3,1.1,1.4,1.4,0.3,0.5,0.7,0.4,0.1
Shawn Pallister,2015,0.3,1.0,1.4,1.9,0.5,0.5,1.0,0.3,0.3
Payton Gomes,2015,0.5,0.8,1.3,0.1,0.0,0.6,0.0,0.0,0.0
Paige Hastings van,2015,0.1,0.6,0.8,1.0,0.0,0.1,0.0,0.0,0.0
Taylor Thorkelsson,2015,2.2,2.5,4.8,2.0,1.0,1.3,0.8,0.8,0.1
Skylar Boulanger,2015,3.5,3.4,6.8,2.5,1.9,1.6,1.2,0.4,1.4
Ellen Hatt,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren Miller,2016,0.3,0.9,1.2,0.7,0.6,0.6,1.0,0.6,0.0
Sarah Taylor,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren Jodrey,2016,0.5,0.9,1.4,1.6,0.7,0.6,1.1,0.1,0.1
Alyson Fulton,2016,0.3,0.8,1.1,0.9,0.7,0.9,0.7,0.5,0.0
Kelsey Rice,2016,2.6,2.3,4.8,1.6,0.4,1.1,0.4,1.1,0.1
Chanel Smith,2016,0.7,4.7,5.3,1.5,2.4,3.4,0.7,1.1,0.2
Katie Ross,2016,0.9,2.7,3.7,1.0,1.9,1.6,1.2,1.0,0.2
Hannah Stokes,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miriam Franchetto,2016,0.1,0.5,0.6,1.3,0.4,0.8,0.5,0.4,0.0
Paloma Anderson,2016,1.4,5.1,6.5,1.6,4.3,4.5,1.0,3.0,0.1
Emily MacLeod,2016,1.4,4.3,5.7,1.9,1.8,1.9,0.9,1.3,1.3
Maire Burke,2016,0.6,0.9,1.5,0.8,0.4,0.6,0.8,0.2,0.1
Alexandra Berry,2016,3.0,5.2,8.2,3.5,1.1,3.0,0.4,0.6,0.3
Jenalle Vanhie,2016,0.9,1.6,2.4,0.8,0.2,0.3,0.6,0.6,0.2
Karina Kuchta,2016,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.2,0.0
Adrianna Beck,2016,0.3,0.4,0.8,0.3,0.6,0.4,1.4,0.1,0.0
Rasheeka Gunn,2016,1.7,2.7,4.3,2.3,1.5,1.8,0.8,1.2,0.2
Colleen Keane,2016,1.8,6.3,8.1,2.1,2.5,2.8,0.9,1.6,0.1
Madison Munro,2016,0.5,1.9,2.4,0.7,1.0,0.8,1.2,0.3,0.1
Natasha Roach,2016,1.6,1.9,3.5,1.6,3.2,2.5,1.3,2.1,0.0
Jalynn Skeir,2016,0.5,1.6,2.1,2.5,2.9,2.5,1.2,1.3,0.0
Alison Keough,2016,2.8,7.4,10.2,2.1,1.6,3.7,0.4,1.1,0.4
Valentina Primossi,2016,0.7,3.1,3.8,1.6,3.1,3.0,1.0,1.4,0.0
Kristen Schilz,2016,0.3,0.3,0.7,0.5,0.0,0.2,0.0,0.0,0.0
Jayda Pearson,2016,0.3,0.9,1.2,1.5,0.3,0.6,0.5,0.5,0.0
Hannah Brown,2016,2.1,3.0,5.1,2.0,0.7,1.3,0.6,0.3,0.3
Erin O'Rourke,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Diedre Alexander,2016,0.9,2.5,3.5,1.4,2.4,2.0,1.2,1.1,0.0
Sophie Gaube,2016,0.6,1.5,2.1,1.7,1.2,1.5,0.8,0.4,0.0
Chika Chiekwe,2016,0.3,0.8,1.1,0.6,0.4,0.3,1.3,0.4,0.0
Megan Thompson,2016,0.8,2.4,3.2,1.5,0.5,1.4,0.3,0.3,0.1
Sarah Preston-Thomas,2016,0.3,0.6,0.9,0.6,0.3,0.3,1.0,0.2,0.0
Tessa Stammberger,2016,2.1,4.8,6.9,2.6,1.9,2.9,0.6,1.9,0.1
Ashley Cain,2016,0.7,1.1,1.8,1.7,0.2,0.6,0.4,0.2,0.0
Ainsley MacIntyre,2016,1.3,3.3,4.6,1.1,1.1,2.3,0.5,0.9,0.2
Shalyn Field,2016,1.1,3.7,4.8,1.6,2.9,2.9,1.0,1.8,0.1
Christina Brown,2016,0.7,0.9,1.6,0.8,0.5,0.8,0.6,0.2,0.0
Michela Barresi,2016,1.5,1.9,3.4,2.6,0.5,1.3,0.4,0.2,0.3
Shannon Forbes,2016,0.3,0.6,0.8,1.4,0.1,0.5,0.3,0.2,0.1
Jane Baird,2016,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Mona Frey,2016,0.3,1.2,1.5,0.3,0.8,1.4,0.6,0.5,0.0
Kelsey Moore,2016,0.0,0.3,0.3,0.1,0.0,0.2,0.0,0.0,0.1
Rebecca Amo-Mensah,2016,0.9,1.5,2.4,0.6,2.0,2.5,0.8,0.7,0.1
Rebecca Amo-Mensah,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carolyn Adams,2016,0.3,1.4,1.6,2.8,2.0,2.9,0.7,1.0,0.1
Rosemary Stanoev,2016,0.8,2.0,2.8,0.8,0.8,1.1,0.7,1.1,0.1
Chante Clarke,2016,1.8,1.8,3.5,2.9,1.0,2.7,0.4,0.9,0.1
Chante Clarke,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katherine Vanden Elz,2016,0.7,1.6,2.3,0.9,0.6,0.3,2.0,0.0,0.0
Sydney Stewart,2016,2.2,3.6,5.8,2.5,1.9,3.1,0.6,2.1,0.3
Andreanne Ennis,2016,0.7,2.2,2.9,1.6,0.4,1.1,0.4,0.2,0.1
Lindsay Taylor,2016,1.3,3.0,4.3,1.8,1.5,1.9,0.8,0.8,0.1
Haille Nickerson,2016,0.1,0.6,0.6,0.8,0.1,0.6,0.2,0.3,0.0
Brooklynn Wright,2016,0.7,1.9,2.6,1.8,0.5,1.4,0.3,0.5,1.1
Sydney Ezekiel,2016,0.6,4.0,4.5,2.0,1.1,2.8,0.4,1.3,0.3
Kelsey McGrath,2016,0.3,0.0,0.3,1.0,0.1,0.5,0.2,0.5,0.0
Geana George,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandra Smye,2016,0.3,0.4,0.7,0.7,0.3,0.3,0.8,0.8,0.0
Jenny Lewis,2016,0.4,1.6,1.9,1.9,0.7,1.1,0.6,0.5,0.3
Emma Valikoski,2016,0.6,1.4,2.1,1.3,0.6,0.6,1.0,0.6,0.1
Veronica Vaickus,2016,0.0,0.5,0.5,0.5,0.0,0.3,0.0,0.3,0.0
Angelina Carvery,2016,0.7,3.2,3.8,0.7,3.1,2.7,1.1,1.2,0.4
Katrina Murrell,2016,1.9,2.3,4.3,1.1,0.6,1.1,0.6,0.5,0.2
Rachelle Coward,2016,0.7,1.9,2.6,1.5,1.4,1.4,0.9,0.8,0.8
Carlie Nugent,2016,0.2,0.8,1.0,0.2,0.2,0.0,0.0,0.0,0.0
Josie Gascoigne,2016,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
Belinda Ndaye,2016,0.0,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.0
Kennisha-Shanice Luberisse,2016,2.6,4.3,6.9,2.0,3.8,2.5,1.5,3.4,0.5
Laura Langille,2016,1.5,4.1,5.6,1.5,1.7,1.5,1.1,0.9,0.7
Shanieka Wood,2016,4.5,5.2,9.6,2.7,0.8,1.1,0.7,0.8,0.9
Courtney Cain-Nordin,2016,0.9,0.8,1.6,1.1,0.1,0.6,0.2,0.4,0.1
Chelsea Provo,2016,0.7,2.9,3.6,1.2,2.5,2.1,1.2,1.4,0.1
Courtney Kilyk,2016,0.5,2.8,3.3,1.8,2.1,2.4,0.9,1.0,0.0
Korenda Colley,2016,0.3,1.0,1.3,2.1,1.6,1.4,1.1,0.7,0.0
Marcy Robinson,2016,1.2,1.3,2.5,2.9,1.6,2.4,0.7,2.2,0.4
Carolyn Smith,2016,0.2,0.8,0.9,1.1,0.8,0.8,1.1,0.4,0.1
Lindsay Lessard,2016,2.1,4.8,7.0,2.3,3.0,2.3,1.3,1.2,0.5
Kayla MacIntyre,2016,0.3,0.9,1.3,1.3,0.5,0.8,0.6,0.3,0.0
Holly Scott,2016,0.1,0.8,0.9,0.5,0.0,0.5,0.0,0.1,0.0
Kolbi Roper,2016,2.7,6.5,9.3,3.8,1.1,2.6,0.4,1.8,0.8
Kimberley Taylor,2016,1.1,0.9,2.1,2.0,0.5,1.1,0.5,0.3,0.1
Shannon Hatch,2016,1.4,2.1,3.6,0.8,1.8,1.3,1.4,0.8,0.4
Jamie McCarron,2016,0.5,1.1,1.6,1.1,0.6,0.3,1.6,0.3,0.2
Courtney Bulman,2016,0.1,1.1,1.2,1.0,0.3,0.6,0.4,0.1,0.3
Kendra Smith,2016,0.5,0.8,1.3,1.2,0.1,0.5,0.2,0.2,0.2
Melissa Gottschall,2016,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2
Caroline Healy,2016,0.7,0.5,1.1,1.6,1.3,1.4,0.9,0.5,0.1
Laura Kaye,2016,1.0,3.0,4.0,2.3,2.8,2.1,1.3,1.4,0.3
Jane Boyle,2016,1.1,2.3,3.4,1.1,1.1,1.5,0.7,0.6,0.3
Laura Fox,2016,0.3,0.8,1.1,0.7,0.1,0.5,0.1,0.2,0.0
Chelsey Collette,2016,0.4,0.5,0.9,1.6,0.1,1.3,0.1,0.3,0.0
Nicole LaFleur,2016,1.4,1.9,3.3,2.6,1.6,2.7,0.6,0.6,0.3
Annika McConaghy,2016,0.6,1.1,1.7,0.6,0.3,0.6,0.5,0.1,0.0
Grace Wade,2016,0.5,2.3,2.7,2.3,3.4,4.5,0.8,2.0,0.1
Kiley DeLong,2016,1.9,5.6,7.4,2.9,1.6,1.9,0.8,1.0,0.1
Hannah Currie,2016,1.7,3.1,4.8,1.9,1.1,2.4,0.4,1.1,0.6
Rachel Cleary,2016,2.4,3.2,5.5,2.6,1.4,1.6,0.9,1.0,0.2
Katelyn Mangold,2016,1.5,4.7,6.3,1.2,1.3,1.4,0.9,0.0,1.7
Eva Tumwine,2016,0.3,0.6,0.9,0.8,0.4,0.3,1.3,0.2,0.0
Megan Campbell,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nailah Jones,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace Simpson,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jasmine Jones,2016,0.0,0.1,0.1,0.4,0.1,0.3,0.5,0.3,0.0
Katie Donahoe,2016,1.0,4.5,5.5,2.6,4.5,2.6,1.8,2.7,0.1
Sarah Peters,2016,0.0,0.1,0.1,0.1,0.1,0.1,1.0,0.0,0.0
Anne Kiberd,2016,0.5,1.8,2.3,2.4,2.3,3.6,0.6,1.4,0.5
Elysia Drost,2016,0.9,0.9,1.9,0.6,0.2,0.3,0.6,0.2,0.3
Victoria Barbour,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julie Campbell,2016,0.1,0.3,0.4,0.0,0.3,0.4,0.7,0.1,0.0
Kendra Craswell,2016,0.1,0.3,0.5,0.8,0.2,0.7,0.3,0.2,0.0
Jane McLaughlin,2016,1.6,6.5,8.1,2.8,1.7,2.6,0.6,1.3,0.4
Kiera Rigby,2016,0.5,3.4,3.9,1.9,1.7,2.5,0.7,0.6,0.5
Kaylyn Toner,2016,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0
Jennifer Newman,2016,0.4,0.8,1.3,1.8,0.3,0.8,0.4,0.2,0.0
Angenay Williams,2016,3.6,4.0,7.6,3.6,4.8,3.6,1.3,2.0,0.2
Tamara Tompkins,2016,1.9,3.0,4.8,2.4,2.1,3.3,0.7,1.9,0.1
Edith Noblecilla Varela,2016,0.3,2.0,2.3,1.7,4.3,6.3,0.7,2.3,0.0
Taylor Dennis,2016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Milhomme,2016,0.6,4.0,4.6,1.9,2.8,6.5,0.4,1.3,0.0
Maude Archambault,2016,1.0,0.0,1.0,1.0,1.0,5.0,0.2,1.0,0.0
Naomi James,2016,0.5,1.7,2.2,1.5,1.3,2.4,0.5,0.7,0.1
Noemie Hamel-Petit,2016,2.1,3.9,6.0,1.8,1.4,2.3,0.6,0.8,0.1
Alexandra Ethier,2016,2.1,2.9,5.0,2.9,0.7,2.2,0.3,0.8,0.0
Catherine Guay,2016,0.5,0.6,1.1,0.5,0.6,1.3,0.5,0.4,0.0
Mara Marchizotti,2016,0.7,3.7,4.3,3.0,0.9,2.7,0.3,0.3,0.7
Joy-Celine Bermillo,2016,0.1,0.7,0.9,1.1,0.4,1.5,0.3,0.5,0.0
Ashley White,2016,0.4,1.4,1.8,0.2,0.0,0.5,0.0,0.1,0.0
Charlene Pettigrew,2016,0.9,4.6,5.5,2.4,0.5,2.2,0.2,0.3,0.1
Evelyn Verrett,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danielle Dimitrov,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elise Roy,2016,0.6,0.5,1.2,1.8,0.4,0.9,0.4,0.5,0.0
Tamara Pinard-Devos,2016,0.6,2.4,3.1,3.2,3.4,2.5,1.4,2.1,0.1
Marilyse Roy-Viau,2016,2.0,3.9,5.9,3.5,2.3,2.9,0.8,1.4,0.4
Aurelie d'Anjou Drouin,2016,0.9,1.0,1.9,1.8,1.3,1.8,0.7,1.1,0.0
Shanica Baker,2016,0.9,3.5,4.4,2.4,0.8,2.3,0.3,1.1,0.1
Richelle Gregoire,2016,1.1,5.6,6.7,2.9,1.5,3.1,0.5,2.8,0.3
Jessika Joly,2016,0.2,0.4,0.6,0.8,0.3,1.3,0.2,0.2,0.0
Marie-Eve Martin,2016,1.6,1.6,3.2,2.4,1.7,1.5,1.1,1.4,0.1
Latifah Roach,2016,0.5,1.5,1.9,1.0,0.7,1.0,0.7,0.8,0.0
Tylea Cole,2016,1.7,2.5,4.2,3.0,0.0,0.5,0.0,0.7,0.0
Erika Jacques,2016,0.4,0.4,0.9,0.7,0.0,0.3,0.0,0.0,0.0
Alexa Schryver,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genevieve Derome,2016,2.3,2.6,4.9,1.7,1.4,2.2,0.6,1.1,0.9
Valerie Demeule,2016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Raphaelle Cote,2016,2.7,5.9,8.6,2.0,1.9,2.5,0.8,2.0,0.4
Julie Dufresne,2016,0.2,0.4,0.7,1.0,0.8,1.2,0.6,0.4,0.0
Claudia Emond,2016,0.8,2.8,3.6,2.1,3.3,2.5,1.3,3.3,0.8
Jane Gagne,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justine G.-Bilodeau,2016,1.4,2.2,3.6,2.8,1.4,2.2,0.6,0.7,0.2
Gabrielle Girard,2016,1.6,4.3,5.9,3.0,1.8,2.2,0.8,1.1,0.0
Marie-Pier Champagne,2016,0.3,0.7,1.1,0.9,0.1,0.8,0.2,0.4,0.1
Sarah-Jane Marois,2016,0.7,1.8,2.5,0.8,2.1,1.6,1.3,1.0,0.1
Naomi Lavallee,2016,0.9,1.8,2.7,1.3,0.7,1.3,0.5,0.7,0.3
Anne-Fred. Turcotte,2016,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.0
Sophie Boulanger,2016,0.5,1.4,1.9,1.3,0.7,1.1,0.6,0.2,0.0
Maude Blouin-Brochu,2016,0.2,0.4,0.6,0.4,0.0,0.2,0.0,0.0,0.0
Laurie Pelletier,2016,0.8,1.3,2.1,1.1,0.4,0.9,0.5,0.4,0.0
Gladys Hakizimana,2016,0.6,2.0,2.6,1.9,3.2,2.5,1.3,0.8,0.1
Dianna Ros,2016,0.1,2.8,2.9,1.1,4.6,1.8,2.6,0.8,0.6
Chiso Ufondu,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marika Guerin,2016,0.2,1.3,1.5,1.0,2.4,1.9,1.3,0.6,0.0
Marie-Love Michel,2016,0.6,3.1,3.7,1.4,1.6,1.2,1.3,0.6,0.3
Carissa Tapia,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geraldine Cabillo-Abante,2016,0.2,0.8,1.0,1.7,1.2,1.8,0.7,0.1,0.3
Stephanie Blais,2016,0.8,0.8,1.6,1.5,0.8,0.6,1.2,0.1,0.1
Gabriela Hebert,2016,0.7,2.4,3.1,2.1,1.5,1.2,1.2,1.5,0.1
Jennifer Silver,2016,2.4,2.7,5.1,2.8,1.0,2.0,0.5,1.1,0.8
Mariam Sylla,2016,2.0,6.7,8.7,2.4,1.3,2.8,0.5,0.4,0.3
Stephanie Guinois-Cote,2016,0.4,0.3,0.7,0.5,0.5,0.2,2.5,0.5,0.0
Alex Kiss-Rusk,2016,1.8,6.0,7.8,1.6,0.9,1.2,0.8,0.9,2.1
Fredericke Laflamme,2016,0.1,0.7,0.9,0.9,0.1,0.1,1.0,0.3,0.0
Audreanne Jean,2016,0.5,0.1,0.6,0.8,0.0,0.3,0.0,0.0,0.0
Bianca Marois,2016,1.0,1.6,2.6,1.1,1.6,2.0,0.8,1.2,0.0
Fanny Chiecchio,2016,0.3,0.2,0.5,0.1,0.3,0.2,1.5,0.2,0.1
Roxanne Douaire,2016,0.5,0.9,1.4,1.6,0.9,1.8,0.5,0.4,0.1
Sarah Cabana,2016,1.5,1.5,3.0,2.1,0.7,1.3,0.5,0.9,0.0
Janice Quintos,2016,0.8,3.4,4.3,2.4,2.8,3.0,0.9,1.1,0.0
Queteline Celestin,2016,1.4,4.5,5.9,2.6,3.8,3.1,1.2,3.4,0.4
Lorna Desrameaux-Simon,2016,1.4,2.1,3.4,2.2,2.1,2.6,0.8,1.1,0.0
Tina Mpondani,2016,2.2,2.7,4.9,2.4,0.5,1.4,0.4,0.5,0.5
Alexandra Madzarevic,2016,0.3,0.6,0.9,0.9,0.3,0.1,2.0,0.1,0.3
Jessica Lubin,2016,3.4,5.6,9.0,3.2,2.0,3.0,0.7,1.9,1.2
Carmen Djossou,2016,0.2,1.5,1.8,0.7,0.2,0.5,0.5,0.2,0.0
Anne-Florence Bastien,2016,0.0,0.8,0.8,0.2,0.2,0.9,0.3,0.1,0.0
Yves-Carlette Leger,2016,0.0,0.1,0.1,0.0,0.0,0.6,0.0,0.1,0.0
Jordan Milos,2016,0.3,2.1,2.4,0.7,0.4,1.6,0.3,0.9,0.2
Carrera Lamoureux,2016,1.1,2.2,3.4,2.5,1.0,3.2,0.3,1.1,0.0
Mackenzie Robinson2,2016,0.6,2.7,3.3,1.8,0.6,2.1,0.3,0.7,0.1
Sydney Resch,2016,0.6,2.3,2.9,2.0,1.1,3.7,0.3,0.6,0.0
Alyssa Dovigi,2016,0.4,2.0,2.4,0.8,0.7,2.4,0.3,0.6,0.0
Karissa Kajorinne,2016,0.6,3.0,3.5,1.8,0.8,4.0,0.2,2.0,0.2
Karly Fracalanza,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mairead Dunn,2016,1.9,3.5,5.3,2.6,0.3,1.5,0.2,0.4,1.5
Carlie Manners,2016,0.1,0.5,0.6,0.5,0.2,0.4,0.4,0.1,0.0
Marlee Ball,2016,0.8,3.1,4.0,2.5,0.6,2.4,0.3,0.6,0.3
Laura Meadows,2016,1.1,2.0,3.1,2.5,0.3,1.9,0.2,0.8,0.6
Dayna Howlett,2016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allie Columbus,2016,0.4,0.5,0.9,0.3,0.3,0.6,0.4,0.3,0.0
Nikita Chappell,2016,1.0,1.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0
Kate Harpur,2016,3.1,6.4,9.4,2.9,0.8,2.5,0.3,1.0,0.6
Kayla Santilli,2016,0.8,4.5,5.3,1.9,2.2,3.0,0.7,1.7,0.5
