NAME,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
Rebecca Funk,2010,0.1,1.6,4.8,0.1,0.5,14.3,0.4,0.5,83.3,0.6
Britney White,2010,1.0,3.2,31.6,0.2,0.8,33.3,0.8,1.1,69.2,3.0
Melanie Thompson,2010,3.6,10.2,35.0,0.2,1.4,12.0,1.5,1.8,81.8,8.8
Rosemary Mills,2010,2.4,9.6,25.0,1.1,4.4,25.0,0.5,0.8,62.5,6.4
Stephanie Lacey-Avon,2010,1.4,6.7,20.2,0.6,3.2,20.0,1.3,2.0,64.7,4.6
Amanda Fortin,2010,2.4,7.1,34.3,0.4,1.9,19.4,3.4,4.7,72.2,8.6
Chelsey Hiebert,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chantel Gaslard,2010,2.1,4.8,43.2,0.0,0.0,0.0,1.5,2.6,56.8,5.6
Jayla Bousquet,2010,4.0,9.8,40.5,0.2,1.2,20.8,3.1,4.2,74.1,11.3
Hailey Toner,2010,0.8,3.1,24.5,0.0,0.6,0.0,0.4,0.8,53.8,1.9
Nicisha Johnson,2010,3.3,7.4,44.0,0.0,0.0,0.0,1.7,3.0,57.4,8.3
Kelsey Solarchuk,2010,0.7,2.4,30.2,0.0,0.0,0.0,1.1,1.3,79.2,2.5
Megan Schaufele,2010,2.8,7.0,40.3,0.3,1.5,23.3,2.4,2.9,82.8,8.3
Megan Maclean,2010,0.4,1.8,22.2,0.0,0.3,0.0,0.5,0.8,62.5,1.3
Tilly Ettinger,2010,1.9,4.2,43.5,0.5,1.4,31.0,1.8,2.6,66.0,5.9
Tamara Jarrett,2010,3.7,8.8,41.8,0.3,1.8,20.0,2.4,4.0,59.5,10.1
Robyn Gibson,2010,2.9,7.2,40.0,0.5,1.6,30.3,1.9,2.8,67.9,8.2
Alex Cole,2010,4.2,9.0,46.2,0.2,0.5,30.0,3.8,5.5,68.6,12.3
Megan Lang,2010,3.8,9.9,37.9,0.9,3.1,30.6,1.4,2.5,57.1,9.8
Esther Graff,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Hill,2010,5.0,13.3,37.5,2.5,6.3,40.5,2.5,3.2,79.7,15.1
Ashley Ashman,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaitie Beard,2010,1.5,3.4,44.1,0.3,0.9,36.8,0.8,1.1,81.0,4.2
Elise Horton,2010,2.1,3.3,62.5,0.0,0.0,0.0,1.0,1.8,56.7,5.1
Courtney Heinricks,2010,1.2,3.2,36.9,0.5,1.6,29.0,0.4,0.7,61.5,3.3
Becky Heninger,2010,3.4,6.9,48.6,0.1,0.6,25.0,3.3,4.2,79.5,10.2
Stephanie Price,2010,5.6,14.3,39.2,0.7,2.9,24.1,3.5,4.3,81.6,15.4
Lauren Taal,2010,5.2,12.5,41.6,2.4,6.7,35.8,1.9,2.5,77.6,14.7
Sam Hornquist,2010,3.1,7.8,40.0,0.3,1.5,23.3,1.6,2.0,82.5,8.2
Kara Henry,2010,0.4,1.7,25.0,0.1,0.1,50.0,0.5,0.6,75.0,1.4
Stephanie Inman,2010,0.5,1.4,35.7,0.2,0.8,25.0,0.4,0.6,66.7,1.6
Hannah Blanchette,2010,2.7,6.8,40.2,0.2,0.5,42.9,1.7,2.1,80.6,7.3
Devon Kendall,2010,0.8,2.4,32.5,0.2,0.5,44.4,0.7,0.9,75.0,2.5
Janelle Traber,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenzie Sheen,2010,3.1,7.0,44.0,0.2,0.8,33.3,1.4,2.2,64.4,7.9
Morgan Cross,2010,1.2,3.3,36.4,0.0,0.6,0.0,0.7,0.8,76.5,3.0
Lauren Mortier,2010,2.5,8.8,27.7,0.9,4.2,22.9,1.4,2.0,70.7,7.3
Kayla Klassen,2010,4.3,11.8,36.6,2.5,7.4,34.5,0.9,1.1,81.8,12.1
Kait Flett,2010,4.8,11.6,41.4,0.2,0.8,29.4,2.2,3.2,68.8,12.1
W. Lodge-Zaparnick,2010,0.7,3.6,18.1,0.1,0.5,33.3,1.6,2.2,75.0,3.1
Nicole Vestby,2010,0.5,2.1,26.1,0.0,0.1,0.0,0.5,0.9,60.0,1.6
Maria Pawlyshyn,2010,1.9,5.2,36.2,0.6,1.8,30.6,0.8,1.1,65.2,5.1
Colleen Dorrian,2010,0.6,1.3,45.0,0.0,0.0,0.0,0.3,0.7,36.4,1.5
Mubo Ilelaboye,2010,4.7,10.4,44.7,0.1,0.5,22.2,1.9,2.9,64.9,11.3
Michele Hynes,2010,4.0,11.6,34.9,2.0,6.2,33.3,1.4,2.1,67.4,11.6
Vanessa D vries,2010,0.5,1.6,33.3,0.0,0.0,0.0,0.3,0.6,50.0,1.4
Deanna Hiebert,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacey Walker,2010,1.5,4.0,37.0,1.2,3.0,40.7,1.1,1.2,95.8,5.3
Kelsey Lothian,2010,0.7,2.2,30.8,0.2,1.4,17.6,0.2,0.3,75.0,1.8
Rayna Belyk,2010,0.0,1.5,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0
Vanessa Wesolowski,2010,0.7,2.3,31.7,0.3,0.8,33.3,0.4,0.8,50.0,2.1
Ashley Wishira,2010,0.2,0.8,30.0,0.2,0.3,50.0,0.4,0.6,71.4,1.1
Gabrielle Gheyssen,2010,2.9,8.7,33.7,1.5,4.9,30.1,0.3,0.4,62.5,7.6
Danielle Schmidt,2010,0.9,2.6,36.5,0.1,0.2,20.0,0.5,0.8,56.3,2.4
Megan Chamberlin,2010,0.9,2.2,41.0,0.0,0.1,0.0,0.5,0.8,64.3,2.3
Rebecca Schmidt,2010,2.5,7.2,35.3,1.4,4.3,32.1,0.3,0.5,60.0,6.7
Lindsay Ledingham,2010,3.4,8.4,40.2,0.8,2.1,39.5,1.6,2.2,75.0,9.3
Brittany Read,2010,5.1,9.8,52.0,0.1,0.1,100.0,4.2,5.5,75.5,14.4
Joanna Zalesiak,2010,5.0,10.4,47.6,0.8,2.1,37.2,3.6,5.3,67.9,14.3
Carmen Stewart,2010,2.3,5.6,41.1,0.1,0.1,33.3,2.9,3.9,74.4,7.5
Lindsay DeGroot,2010,7.1,13.4,52.8,1.1,3.4,32.8,3.5,4.5,77.5,18.8
Mary Hipperson,2010,0.8,2.9,29.3,0.2,1.2,20.8,0.7,1.1,59.1,2.6
Jill Humbert,2010,2.9,8.8,32.4,1.1,3.9,28.2,1.6,2.1,72.1,8.3
Kim Tulloch,2010,4.3,10.4,41.6,1.1,3.8,28.9,2.1,2.9,74.1,11.9
Amy Lackie,2010,0.7,1.5,46.7,0.2,0.7,30.8,0.3,0.3,85.7,1.9
Brittany Bodnar,2010,0.2,0.4,66.7,0.2,0.4,66.7,0.2,0.2,100.0,1.0
Marci Kiselyk,2010,2.2,5.1,44.1,0.1,0.6,16.7,0.8,1.8,48.6,5.5
Alicia Wilson,2010,2.1,4.4,47.7,0.0,0.0,0.0,1.4,2.8,52.7,5.7
Lindsay Copeland,2010,1.9,5.1,38.0,0.5,1.7,30.0,0.4,0.8,57.1,4.8
Lauren Whyte,2010,0.9,2.9,30.9,0.5,1.6,29.0,0.4,0.5,88.9,2.7
Erica Gavel,2010,0.3,1.1,27.8,0.0,0.3,0.0,0.5,0.6,90.0,1.1
Jana Spindler,2010,3.1,5.6,55.4,0.1,0.2,20.0,2.0,2.9,69.0,8.3
Kali Ellis,2010,1.8,7.1,25.8,0.2,1.5,14.8,1.7,2.9,58.5,5.6
Kaitlyn Widsten,2010,4.3,10.5,41.3,1.3,3.7,35.8,1.9,2.6,74.5,11.9
Alex Allen,2010,0.4,0.9,42.9,0.0,0.1,0.0,0.9,1.2,78.9,1.7
Jessica Mulock,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayla Forsyth,2010,1.0,3.1,32.1,0.3,1.0,29.4,0.6,0.9,68.8,2.9
Jen Ju,2010,4.2,12.5,33.8,1.6,5.5,29.3,2.1,3.4,61.3,12.2
Beth McNeill,2010,0.8,2.8,27.3,0.5,1.8,28.6,0.0,0.0,0.0,2.0
Tracy Kocs,2010,3.1,9.6,32.4,1.1,4.3,24.7,1.7,2.2,75.0,8.9
Lindsay Dekoff,2010,2.0,4.6,43.4,0.7,1.8,40.6,0.3,0.4,62.5,5.0
Kailey Colonna,2010,1.4,3.6,39.7,0.0,0.0,0.0,0.2,0.5,50.0,3.1
Diane Schuetze,2010,3.4,8.3,41.6,0.3,0.8,33.3,3.8,5.2,73.1,10.9
Michelle Dimond,2010,0.8,2.4,32.6,0.0,0.3,0.0,0.2,0.2,75.0,1.7
Karalyn Forsyth,2010,0.6,1.2,50.0,0.0,0.0,0.0,0.1,0.4,25.0,1.3
Joanna Balin,2010,0.5,1.5,33.3,0.2,0.2,100.0,0.0,0.0,0.0,1.3
Emily Knauff,2010,4.0,11.6,34.5,1.6,6.1,26.2,1.4,2.5,57.1,11.0
Crystal Ballentyne,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica Carmichael,2010,0.2,0.5,33.3,0.2,0.3,50.0,0.0,0.0,0.0,0.5
Stephanie Carkner,2010,1.3,3.3,38.0,0.2,1.2,16.7,1.5,2.7,55.0,4.2
Amanda Knauff,2010,3.7,9.6,38.2,0.1,0.2,33.3,1.2,2.1,56.8,8.6
Rae-Maryse Laljee,2010,0.3,1.4,20.0,0.0,0.2,0.0,0.5,0.7,62.5,1.0
Jordan Verhoeff,2010,0.6,2.2,27.3,0.0,0.1,0.0,0.9,0.9,92.9,2.1
Lauren Doubroff,2010,5.2,12.3,42.5,1.6,4.3,37.7,3.3,4.2,78.7,15.3
Lindsey Gustafson,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holly Strom,2010,1.4,3.3,41.1,0.4,1.4,25.0,0.7,1.2,60.0,3.8
Karla Josefson,2010,0.1,0.9,9.1,0.1,0.6,14.3,0.2,0.3,75.0,0.5
Corina Reimer,2010,1.1,2.7,39.1,0.0,0.0,0.0,0.7,1.1,66.7,2.8
Tiffany Olsen,2010,2.9,7.1,40.9,0.0,0.2,0.0,2.3,3.8,61.8,8.1
Keely Goertzen,2010,1.2,4.2,27.6,0.8,2.4,31.8,0.6,0.9,58.8,3.7
Emily Knauff,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joanna Balin,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Ballentyne,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chloee St amour,2010,0.8,2.1,36.1,0.4,1.2,33.3,0.2,0.3,60.0,2.1
Arianne Duchesne,2010,1.6,4.2,36.8,0.7,1.8,39.3,0.8,1.2,68.4,4.6
Cathy Berar,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candace Morisset,2010,1.9,5.9,31.8,1.1,3.4,32.3,0.4,0.8,57.1,5.3
Lia St pierre,2010,5.1,10.3,49.2,1.2,2.3,50.0,2.0,2.7,75.0,13.3
Devan Lisson,2010,3.1,8.3,37.6,1.4,4.1,35.1,1.2,1.6,75.0,8.8
Erika Vieweg,2010,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
