player_id,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
562,2011,0.2,2.6,9.5,0.0,1.0,0.0,0.4,0.8,58.3,0.9
149,2011,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
150,2011,1.1,2.2,47.2,0.2,0.4,42.9,0.4,0.5,75.0,2.7
563,2011,0.5,1.0,50.0,0.1,0.4,20.0,0.2,0.2,66.7,1.3
152,2011,3.6,10.9,33.3,2.1,5.7,37.4,1.3,2.1,63.6,10.7
153,2011,0.3,1.3,25.0,0.0,0.0,0.0,0.5,0.8,60.0,1.2
154,2011,0.6,2.3,25.0,0.2,0.5,33.3,0.6,0.8,70.0,1.9
155,2011,3.9,9.7,40.0,0.2,0.7,27.3,1.4,2.1,66.7,9.3
156,2011,4.8,10.0,47.5,0.0,0.5,0.0,2.2,2.8,81.8,11.8
157,2011,3.2,9.0,36.1,1.9,5.0,37.5,1.9,2.5,77.5,10.3
159,2011,0.5,1.0,50.0,0.2,0.5,50.0,0.1,0.1,100.0,1.4
564,2011,1.8,4.5,39.6,0.1,0.3,16.7,0.8,1.1,71.4,4.4
162,2011,2.2,5.8,38.6,0.0,0.4,12.5,1.0,2.0,52.3,5.5
163,2011,4.4,11.0,40.2,1.7,4.0,41.7,1.9,2.8,67.6,12.4
164,2011,0.4,0.9,40.0,0.0,0.2,0.0,0.2,0.7,25.0,0.9
165,2011,2.7,8.1,33.0,0.8,3.1,26.5,1.7,3.1,54.4,7.9
565,2011,0.3,0.9,30.0,0.1,0.3,33.3,0.2,0.2,100.0,0.8
566,2011,3.9,8.4,47.0,0.0,0.0,0.0,2.5,3.9,63.6,10.4
168,2011,1.5,4.3,34.7,0.5,1.9,28.6,0.1,0.2,40.0,3.6
169,2011,5.4,12.9,41.5,0.7,3.2,22.9,1.9,3.0,63.1,13.3
567,2011,0.2,1.4,18.2,0.0,0.1,0.0,0.0,0.0,0.0,0.5
171,2011,4.7,10.9,43.3,2.7,5.5,48.4,2.4,2.8,83.9,14.5
173,2011,3.4,8.4,40.5,0.5,1.8,25.7,1.6,2.4,64.6,8.8
568,2011,1.9,7.0,27.2,0.8,3.3,23.2,1.4,1.9,76.9,6.0
175,2011,2.4,7.6,32.1,1.1,3.9,27.3,0.9,1.5,57.1,6.8
176,2011,1.6,5.4,28.9,1.2,4.6,27.1,0.1,0.2,50.0,4.5
177,2011,2.5,8.1,30.4,0.9,3.2,27.9,0.9,1.1,82.6,6.8
178,2011,3.6,10.2,35.1,0.9,3.3,26.0,3.1,4.2,73.1,11.1
179,2011,4.0,7.7,51.8,0.0,0.0,0.0,2.4,3.6,65.0,10.4
180,2011,0.6,2.3,26.0,0.2,0.6,28.6,0.5,0.9,60.0,1.9
181,2011,0.9,3.6,24.0,0.7,2.7,26.3,0.1,0.3,50.0,2.6
569,2011,2.4,6.0,40.2,0.5,1.6,34.3,1.3,2.0,64.4,6.7
570,2011,0.8,2.3,33.3,0.0,0.0,0.0,1.1,1.5,73.5,2.7
