,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G,player_id
483,2012,1.4,3.2,4.6,1.8,2.2,2.0,1.1,1.7,0.1,483
484,2012,0.4,1.1,1.5,0.9,0.9,0.6,1.5,0.6,0.1,484
485,2012,0.8,3.7,4.4,2.8,5.6,3.7,1.5,2.8,0.1,485
486,2012,0.8,0.8,1.6,0.8,0.8,0.6,1.5,0.6,0.0,486
487,2012,0.7,0.6,1.3,1.1,0.5,0.9,0.5,0.2,0.0,487
488,2012,2.4,4.9,7.3,3.7,1.2,2.1,0.6,1.3,0.8,488
489,2012,1.6,2.3,3.9,1.5,0.5,0.6,0.7,0.9,0.6,489
490,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490
491,2012,3.4,3.9,7.2,2.8,2.6,2.9,0.9,1.6,0.7,491
492,2012,1.5,1.3,2.8,2.6,1.3,2.1,0.6,1.5,0.1,492
493,2012,0.4,1.3,1.7,0.9,0.8,1.0,0.8,1.1,0.1,493
494,2012,0.4,0.6,0.9,0.8,0.1,0.5,0.3,0.6,0.0,494
495,2012,0.8,2.0,2.8,0.9,1.6,1.3,1.2,1.4,0.1,495
496,2012,1.8,3.9,5.6,2.9,1.1,2.8,0.4,1.1,0.2,496
497,2012,0.3,0.3,0.5,0.6,0.0,0.5,0.0,0.1,0.0,497
498,2012,1.3,2.5,3.8,2.4,1.0,1.6,0.6,0.7,0.1,498
499,2012,0.9,2.1,3.1,1.8,0.6,1.9,0.3,0.8,0.2,499
500,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
501,2012,2.8,4.8,7.5,2.9,2.3,3.9,0.6,1.8,0.8,501
502,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
503,2013,0.7,1.3,2.0,0.5,0.4,0.4,0.9,0.4,0.1,1
504,2013,0.5,0.9,1.4,1.6,3.4,3.3,1.0,2.1,0.5,502
505,2013,0.3,0.6,0.9,0.4,0.3,0.4,0.8,0.1,0.1,9
506,2013,1.5,4.3,5.8,1.2,2.6,2.9,0.9,1.7,0.1,5
507,2013,1.8,3.9,5.7,1.1,1.4,1.6,0.9,1.8,0.1,6
508,2013,2.8,5.7,8.4,3.2,1.6,2.1,0.8,1.3,1.6,7
509,2013,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,503
510,2013,1.1,2.6,3.7,2.5,1.0,2.0,0.5,0.5,0.2,504
511,2013,3.1,4.8,7.9,2.3,2.4,2.0,1.2,1.6,0.6,10
512,2013,2.5,6.2,8.7,1.7,1.7,2.8,0.6,0.7,0.3,505
513,2013,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.1,0.0,506
514,2013,0.3,2.7,3.0,1.4,3.7,3.5,1.1,1.9,0.1,15
515,2013,1.4,2.9,4.3,2.2,0.9,1.8,0.5,0.8,0.7,16
516,2013,1.9,4.0,5.9,2.3,1.5,4.0,0.4,1.4,0.3,507
517,2013,0.6,1.9,2.5,2.0,0.7,2.1,0.3,0.6,0.3,508
518,2013,0.4,0.8,1.1,1.4,0.4,1.5,0.3,0.4,0.0,509
519,2013,0.4,1.0,1.4,1.4,0.6,1.1,0.6,1.1,0.1,510
520,2013,0.5,1.3,1.8,1.4,0.9,1.4,0.6,0.6,0.1,511
521,2013,1.4,2.5,3.9,2.3,1.9,1.6,1.2,1.7,0.1,22
522,2013,0.5,1.1,1.6,0.7,0.4,0.9,0.5,0.4,0.2,23
523,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
524,2013,0.1,0.4,0.6,0.5,0.4,0.8,0.5,0.4,0.0,32
525,2013,3.4,7.0,10.3,2.1,2.5,2.5,1.0,1.4,0.9,512
526,2013,1.0,3.6,4.7,2.7,3.9,3.4,1.2,1.8,0.3,27
527,2013,0.8,1.1,1.9,2.4,1.0,1.0,1.0,0.4,0.1,28
528,2013,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,513
529,2013,1.1,2.8,3.9,1.8,2.0,2.1,0.9,0.8,0.4,514
530,2013,1.4,3.1,4.6,2.9,3.0,3.3,0.9,2.0,0.1,30
531,2013,2.4,4.7,7.0,2.5,2.9,3.0,1.0,1.2,0.7,31
532,2013,0.6,0.5,1.0,0.6,0.7,0.7,0.9,0.3,0.0,515
533,2013,1.5,2.0,3.5,1.4,0.7,1.2,0.5,0.3,0.1,516
534,2013,0.5,1.5,2.0,1.1,1.3,1.3,1.0,0.1,0.3,37
535,2013,0.8,1.3,2.0,1.0,3.3,1.6,2.0,0.9,0.1,42
536,2013,0.4,0.9,1.3,0.7,1.0,1.1,0.9,0.8,0.0,39
537,2013,0.2,0.2,0.4,0.8,0.0,0.4,0.0,0.0,0.0,517
538,2013,0.4,1.1,1.4,1.3,0.3,0.6,0.4,0.1,0.1,41
539,2013,1.8,4.6,6.3,2.7,0.7,1.5,0.5,1.3,0.3,518
540,2013,0.3,0.4,0.7,0.6,0.0,0.0,0.0,0.0,0.0,519
541,2013,2.1,5.2,7.4,1.7,1.2,2.4,0.5,0.6,1.9,520
542,2013,0.7,2.6,3.4,1.5,2.6,1.5,1.8,1.0,0.2,46
543,2013,0.7,3.0,3.8,2.0,2.8,2.2,1.3,0.9,0.1,47
544,2013,0.1,0.6,0.7,0.3,1.4,0.6,2.6,0.2,0.0,48
545,2013,1.4,3.5,4.9,2.5,2.8,2.4,1.2,1.6,0.1,49
546,2013,1.0,1.4,2.4,1.4,1.5,1.2,1.3,1.5,0.0,521
547,2013,0.2,0.7,0.9,1.6,1.3,1.6,0.8,0.8,0.1,50
548,2013,1.9,5.6,7.5,2.5,4.3,3.9,1.1,3.9,0.8,51
549,2013,0.4,0.7,1.1,0.4,0.3,1.1,0.3,0.1,0.1,522
550,2013,3.1,5.3,8.4,2.6,1.1,1.1,1.0,0.8,0.6,523
551,2013,1.1,3.0,4.1,1.3,2.1,2.3,1.0,1.2,1.0,524
552,2013,0.1,0.7,0.8,0.7,0.1,0.8,0.1,0.3,0.0,55
553,2013,0.3,0.3,0.6,0.5,0.4,0.5,0.8,0.0,0.0,525
554,2013,1.0,1.3,2.3,1.5,0.8,0.8,0.9,0.6,0.1,57
555,2013,0.3,0.8,1.2,0.8,0.0,0.5,0.0,0.0,0.0,526
556,2013,0.9,1.6,2.5,1.6,1.0,1.9,0.5,0.6,0.1,59
557,2013,1.4,2.5,3.9,1.4,2.1,2.2,1.0,1.4,0.2,527
558,2013,3.4,5.2,8.6,1.8,0.9,2.1,0.5,1.1,1.0,528
559,2013,1.8,2.6,4.4,2.9,0.8,1.2,0.7,0.6,0.2,61
560,2013,0.1,0.3,0.4,0.3,0.4,0.8,0.5,0.1,0.0,529
561,2013,0.0,1.3,1.3,1.7,1.3,1.2,1.1,0.5,0.1,63
562,2013,1.6,2.0,3.6,2.5,3.3,2.4,1.4,2.0,0.4,64
563,2013,0.2,0.9,1.1,1.0,0.6,0.9,0.6,0.5,0.0,65
564,2013,0.7,3.1,3.8,2.0,2.9,3.1,1.0,1.9,0.9,66
565,2013,0.2,0.5,0.7,1.5,1.0,1.3,0.8,0.6,0.1,530
566,2013,0.9,3.0,4.0,1.4,0.9,1.6,0.6,0.5,0.1,531
567,2013,0.0,0.4,0.4,0.6,0.1,0.3,0.5,0.3,0.1,532
568,2013,0.5,0.9,1.5,1.1,0.3,0.4,0.6,0.4,0.2,533
569,2013,2.8,4.4,7.2,3.5,0.7,2.4,0.3,0.9,0.3,70
570,2013,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,534
571,2013,0.5,2.1,2.6,0.9,2.0,1.9,1.1,0.7,0.0,535
572,2013,1.3,3.2,4.5,1.6,0.8,2.0,0.4,0.4,0.4,536
573,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537
574,2013,0.7,0.6,1.2,1.0,0.1,1.3,0.1,0.4,0.0,538
575,2013,0.1,0.5,0.6,1.0,0.2,1.1,0.2,0.9,0.1,539
576,2013,0.5,0.7,1.2,0.6,0.4,0.9,0.4,0.3,0.1,540
577,2013,1.0,1.5,2.5,1.1,1.3,2.6,0.5,0.4,0.0,541
578,2013,1.8,2.9,4.8,2.8,2.5,3.9,0.7,0.5,0.0,542
579,2013,0.7,1.1,1.8,1.7,0.5,1.5,0.3,0.5,0.0,543
580,2013,0.6,0.3,0.9,0.7,0.4,0.1,3.0,0.0,0.0,79
581,2013,1.7,4.2,5.9,1.9,1.8,1.8,1.0,0.6,0.1,80
582,2013,1.4,4.6,6.1,3.1,3.1,4.1,0.8,0.4,0.3,81
583,2013,1.5,3.7,5.2,2.3,0.5,1.2,0.4,0.4,0.3,82
584,2013,0.1,0.6,0.8,0.8,0.0,1.3,0.0,0.0,0.0,544
585,2013,0.5,0.4,0.9,1.4,0.9,1.3,0.7,0.6,0.0,84
586,2013,0.5,2.7,3.1,2.4,2.6,2.0,1.3,1.7,0.2,85
587,2013,0.4,0.5,0.9,0.6,0.5,0.5,1.1,0.3,0.1,86
588,2013,0.2,0.2,0.3,0.2,0.2,0.2,1.0,0.0,0.0,87
589,2013,0.3,0.6,0.9,0.1,0.3,0.1,3.0,0.2,0.1,545
590,2013,0.7,2.8,3.5,1.6,0.7,1.5,0.4,0.8,0.5,95
591,2013,1.8,5.3,7.1,2.9,2.4,3.3,0.7,1.6,0.4,90
