player_id,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
213,lakehead,2010,,08,22.0,10.0,20.5
214,lakehead,2010,,09,5.0,0.0,5.2
215,lakehead,2010,,10,17.0,15.0,22.9
216,lakehead,2010,,11,16.0,0.0,5.6
217,lakehead,2010,,13,20.0,7.0,18.7
218,lakehead,2010,,15,19.0,1.0,9.4
219,lakehead,2010,,21,22.0,7.0,17.0
220,lakehead,2010,,22,22.0,13.0,18.7
221,lakehead,2010,,23,21.0,19.0,25.0
222,laurentian,2010,,04,22.0,20.0,33.8
223,laurentian,2010,,05,22.0,0.0,12.9
224,laurentian,2010,,06,19.0,2.0,11.8
225,laurentian,2010,,07,8.0,0.0,5.6
226,laurentian,2010,,08,21.0,17.0,23.3
227,laurentian,2010,,09,19.0,0.0,7.8
228,laurentian,2010,,10,22.0,5.0,20.5
229,laurentian,2010,,11,2.0,0.0,2.5
230,laurentian,2010,,12,22.0,20.0,28.8
231,laurentian,2010,,13,17.0,0.0,11.1
232,laurentian,2010,,14,21.0,19.0,26.0
233,laurentian,2010,,15,18.0,17.0,29.1
234,laurentian,2010,,21,16.0,0.0,7.7
235,laurier,2010,,04,22.0,0.0,17.0
236,laurier,2010,,05,22.0,18.0,23.8
237,laurier,2010,,06,19.0,1.0,9.9
238,laurier,2010,,07,22.0,19.0,22.5
239,laurier,2010,,08,22.0,20.0,26.0
240,laurier,2010,,09,22.0,2.0,17.4
241,laurier,2010,,10,21.0,0.0,10.0
242,laurier,2010,,11,13.0,3.0,15.9
243,laurier,2010,,13,22.0,0.0,15.2
244,laurier,2010,,14,11.0,0.0,3.9
245,laurier,2010,,15,22.0,20.0,28.8
246,laurier,2010,,23,18.0,17.0,24.3
247,mcmaster,2010,,4,20.0,18.0,25.7
248,mcmaster,2010,,5,20.0,0.0,14.4
249,mcmaster,2010,,6,21.0,1.0,11.8
250,mcmaster,2010,,7,21.0,1.0,10.7
251,mcmaster,2010,,8,21.0,14.0,22.7
252,mcmaster,2010,,9,10.0,0.0,4.3
253,mcmaster,2010,,10,1.0,0.0,0.0
254,mcmaster,2010,,11,22.0,20.0,35.0
255,mcmaster,2010,,12,17.0,6.0,17.2
256,mcmaster,2010,,13,20.0,8.0,20.1
257,mcmaster,2010,,14,22.0,13.0,20.5
258,mcmaster,2010,,15,21.0,19.0,31.1
259,ottawa,2010,,03,22.0,15.0,23.2
260,ottawa,2010,,04,18.0,5.0,15.7
261,ottawa,2010,,05,22.0,12.0,17.0
262,ottawa,2010,,06,22.0,18.0,29.7
263,ottawa,2010,,07,18.0,6.0,15.4
264,ottawa,2010,,08,17.0,8.0,12.2
265,ottawa,2010,,09,22.0,1.0,9.8
266,ottawa,2010,,11,20.0,3.0,12.7
267,ottawa,2010,,12,3.0,0.0,7.0
268,ottawa,2010,,13,16.0,2.0,10.1
269,ottawa,2010,,14,18.0,7.0,15.2
270,ottawa,2010,,15,19.0,6.0,14.4
271,ottawa,2010,,21,22.0,22.0,29.6
272,ottawa,2010,,22,22.0,5.0,12.2
273,queens,2010,F,05,22.0,0.0,15.5
274,queens,2010,F,06,8.0,0.0,4.6
275,queens,2010,J,08,22.0,19.0,31.9
276,queens,2010,S,09,21.0,18.0,29.9
277,queens,2010,S,10,22.0,0.0,14.1
278,queens,2010,J,11,22.0,1.0,19.3
279,queens,2010,F,12,14.0,0.0,3.6
280,queens,2010,S,13,21.0,18.0,28.4
281,queens,2010,F,14,20.0,2.0,11.4
282,queens,2010,S,15,21.0,18.0,20.9
283,queens,2010,F,21,5.0,0.0,3.6
284,queens,2010,S,22,21.0,19.0,29.0
285,ryerson,2010,,04,22.0,16.0,31.9
286,ryerson,2010,,05,20.0,11.0,30.1
287,ryerson,2010,,06,0.0,0.0,0.0
288,ryerson,2010,,07,13.0,1.0,15.4
289,ryerson,2010,,08,7.0,0.0,4.1
290,ryerson,2010,,09,19.0,0.0,7.7
291,ryerson,2010,,10,22.0,16.0,32.7
292,ryerson,2010,,11,22.0,4.0,20.9
293,ryerson,2010,,13,11.0,0.0,5.5
294,ryerson,2010,,14,22.0,16.0,27.3
295,ryerson,2010,,15,13.0,0.0,7.2
296,ryerson,2010,,21,22.0,16.0,26.1
297,ryerson,2010,,23,22.0,0.0,12.4
298,toronto,2010,,4,19.0,18.0,26.3
299,toronto,2010,,5,16.0,0.0,10.1
300,toronto,2010,,6,21.0,10.0,19.6
301,toronto,2010,,8,21.0,20.0,32.9
302,toronto,2010,,9,21.0,19.0,22.7
303,toronto,2010,,10,13.0,0.0,7.2
304,toronto,2010,,11,20.0,0.0,9.8
305,toronto,2010,,12,21.0,2.0,11.3
306,toronto,2010,,13,17.0,0.0,7.9
307,toronto,2010,,14,5.0,0.0,6.2
308,toronto,2010,,15,22.0,0.0,12.4
309,toronto,2010,,21,21.0,12.0,21.3
310,toronto,2010,,22,22.0,21.0,30.4
311,toronto,2010,,23,0.0,0.0,0.0
312,waterloo,2010,,04,14.0,7.0,24.3
313,waterloo,2010,,05,22.0,9.0,27.4
314,waterloo,2010,,06,17.0,0.0,5.5
315,waterloo,2010,,07,22.0,8.0,29.0
316,waterloo,2010,,08,17.0,1.0,7.1
317,waterloo,2010,,09,22.0,0.0,21.6
318,waterloo,2010,,10,22.0,0.0,11.2
319,waterloo,2010,,11,1.0,0.0,0.0
320,waterloo,2010,,12,3.0,0.0,1.3
321,waterloo,2010,,13,18.0,5.0,24.4
322,waterloo,2010,,14,22.0,9.0,26.1
323,waterloo,2010,,15,9.0,0.0,15.6
324,waterloo,2010,,21,0.0,0.0,0.0
325,waterloo,2010,,22,18.0,2.0,12.3
326,waterloo,2010,,23,22.0,5.0,22.8
327,western,2010,,06,21.0,12.0,22.1
328,western,2010,,07,15.0,0.0,15.8
329,western,2010,,08,21.0,9.0,20.4
330,western,2010,,09,16.0,13.0,26.4
331,western,2010,,11,21.0,11.0,24.1
332,western,2010,,12,21.0,16.0,24.0
333,western,2010,,13,10.0,8.0,22.2
334,western,2010,,14,21.0,19.0,33.7
335,western,2010,,15,20.0,6.0,24.3
336,western,2010,,21,20.0,1.0,10.7
337,western,2010,,22,4.0,0.0,4.0
338,western,2010,,23,3.0,0.0,1.3
339,windsor,2010,,04,21.0,14.0,20.5
340,windsor,2010,,05,21.0,19.0,32.3
341,windsor,2010,,06,17.0,1.0,9.3
342,windsor,2010,,07,16.0,0.0,9.4
343,windsor,2010,,08,17.0,9.0,17.4
344,windsor,2010,,09,17.0,11.0,19.2
345,windsor,2010,,10,21.0,2.0,24.1
346,windsor,2010,,11,20.0,18.0,29.5
347,windsor,2010,,15,15.0,0.0,7.4
348,windsor,2010,,21,17.0,0.0,10.2
349,windsor,2010,,22,15.0,5.0,17.7
