player_id,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
712,2011,1.5,4.9,29.6,0.5,1.6,34.3,0.8,1.2,69.2,4.3
713,2011,1.5,5.5,27.3,0.3,2.3,14.3,0.7,1.5,48.1,4.1
714,2011,1.4,5.6,24.7,0.1,0.8,8.3,0.6,0.9,71.4,3.4
715,2011,0.9,4.0,21.9,0.6,2.1,29.4,0.6,1.0,62.5,3.0
716,2011,3.5,10.0,34.8,0.7,3.0,22.4,0.7,1.2,61.5,8.4
717,2011,1.4,3.6,38.8,0.0,0.3,16.7,1.2,2.0,59.1,4.0
718,2011,1.3,3.5,35.9,0.2,0.5,41.7,0.7,1.3,57.1,3.5
719,2011,4.5,10.1,44.8,0.9,2.5,35.7,3.0,3.9,76.7,13.0
720,2011,0.6,0.9,71.4,0.0,0.0,0.0,0.5,0.6,80.0,1.8
327,2011,2.8,5.1,55.4,0.0,0.0,0.0,1.3,2.2,57.1,6.9
328,2011,0.7,2.0,33.3,0.1,0.3,20.0,0.3,0.6,50.0,1.7
330,2011,1.6,4.5,36.5,0.8,2.0,39.3,0.9,1.4,68.4,5.0
721,2011,2.6,8.4,31.7,0.8,2.7,30.4,0.8,1.2,70.0,6.9
331,2011,2.4,5.4,43.7,1.8,4.0,44.3,0.3,0.5,70.0,6.8
722,2011,0.1,0.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2
333,2011,5.2,12.4,41.7,1.3,3.6,36.2,1.4,2.2,63.9,13.1
723,2011,2.6,5.7,46.3,1.0,2.4,42.2,0.9,1.2,77.3,7.2
335,2011,1.8,4.8,37.7,0.8,2.5,32.1,0.7,1.1,66.7,5.2
