Year,Name,School,Conference,Grade
2023,Emma Kary, Alberta,CANWEST,1
2010,Caitlin Gooch, Winnipeg,CANWEST,2
2010,Marisa Haylett, Alberta,CANWEST,2
2010,Laurelle Weigl, Simon Fraser,CANWEST,2
2010,Deborah Yeboah, Victoria,CANWEST,2
2010,Joanna Zalesiak, Regina,CANWEST,2
2011,Ashley Hill, Calgary,CANWEST,2
2011,Zara Huntley, UBC,CANWEST,2
2011,Lindsay Ledingham, Regina,CANWEST,2
2011,Amy Ogidan, Winnipeg,CANWEST,2
2011,Deborah Yeboah, Victoria,CANWEST,2
2012,Nicole Clarke, Alberta,CANWEST,2
2012,Dalyce Emmerson, Saskatchewan,CANWEST,2
2012,Tessa Klassen, UFV,CANWEST,2
2012,Lindsay Ledingham, Regina,CANWEST,2
2012,Kristjana Young, UBC,CANWEST,2
2013,Jessica Franz, Calgary,CANWEST,2
2013,Tamara Jarrett, Calgary,CANWEST,2
2013,Aieisha Luyken, UFV,CANWEST,2
2013,Brittany Read, Regina,CANWEST,2
2013,Holly Strom, Trinity Western,CANWEST,2
2014,Jenna Bugiardini, Victoria,CANWEST,2
2014,Stephanie Kleysen, Winnipeg,CANWEST,2
2014,Aieisha Luyken, UFV,CANWEST,2
2014,Harleen Sidhu Dulay, UBC,CANWEST,2
2014,Kimberley Veldman, Lethbridge,CANWEST,2
2015,Jorri Duxbury, Thompson Rivers,CANWEST,2
2015,Kelly Fagan, MacEwan,CANWEST,2
2015,Cassandra Goodis, Victoria,CANWEST,2
2015,Stephanie Kleysen, Winnipeg,CANWEST,2
2015,Harleen Sidhu Dulay, UBC,CANWEST,2
2016,Jenna Bugiardini, Victoria,CANWEST,2
2016,Diana Lee, UBC,CANWEST,2
2016,Emma Piggin, Thompson Rivers,CANWEST,2
2016,Kristie Sheils, Calgary,CANWEST,2
2016,Megan Wood, MacEwan,CANWEST,2
2017,Jenna Bugiardini, Victoria,CANWEST,2
2017,Keisha Cox, Brandon,CANWEST,2
2017,Maria Mongomo, UNBC,CANWEST,2
2017,Tessa Ratzlaff Allison, Trinity Western,CANWEST,2
2017,Kayli Sartori, UFV,CANWEST,2
2018,Kristy Gallagher, Victoria,CANWEST,2
2018,Brianna Ghali, Calgary,CANWEST,2
2018,Elle Hendershot, Alberta,CANWEST,2
2018,Vasiliki Louka, UNBC,CANWEST,2
2018,Summer Masikewich, Saskatchewan,CANWEST,2
