Num,Name,Yr,Pos,GP,GS,Min,Pct,3Pct,FTPct,Pts,FGM,FGA,3FGM,3FGA,FTM,FTA,OReb,DReb,Reb,Ast,TO,Stl,Blk,Team,Season
08,Ashley Wishira,Jr,G,12,-,87,30.0,50.0,71.4,13,3,10,2,4,5,7,1,8,9,6,13,7,0,regina,2010
10,Gabrielle Gheyssen,Sr,F,19,12,411,33.7,30.1,62.5,145,56,166,28,93,5,8,14,40,54,21,41,28,0,regina,2010
11,Danielle Schmidt,So,F,20,-,192,36.5,20.0,56.3,48,19,52,1,5,9,16,19,19,38,12,23,13,0,regina,2010
12,Megan Chamberlin,Fr,F,18,-,138,41.0,0.0,64.3,41,16,39,0,1,9,14,14,20,34,4,10,5,5,regina,2010
13,Rebecca Schmidt,Sr,F,19,4,368,35.3,32.1,60.0,128,48,136,26,81,6,10,6,15,21,15,34,15,1,regina,2010
14,Lindsay Ledingham,So,F,20,10,503,40.2,39.5,75.0,186,68,169,17,43,33,44,40,72,112,36,46,10,8,regina,2010
20,Brittany Read,Jr,P,20,19,503,52.0,100.0,75.5,288,102,196,1,1,83,110,88,107,195,7,50,23,33,regina,2010
21,Joanna Zalesiak,So,G,20,17,582,47.6,37.2,67.9,286,99,208,16,43,72,106,38,87,125,87,75,41,3,regina,2010
22,Carmen Stewart,Sr,F,20,15,436,41.1,33.3,74.4,151,46,112,1,3,58,78,46,53,99,34,64,50,10,regina,2010
03,Lindsay DeGroot,Sr,G,20,20,623,52.8,32.8,77.5,375,142,269,22,67,69,89,44,125,169,57,63,65,18,saskatchewan,2010
04,Mary Hipperson,Jr,G,20,-,282,29.3,20.8,59.1,52,17,58,5,24,13,22,11,26,37,15,29,10,1,saskatchewan,2010
05,Jill Humbert,Sr,G,20,20,602,32.4,28.2,72.1,167,57,176,22,78,31,43,11,53,64,81,76,37,1,saskatchewan,2010
06,Kim Tulloch,Sr,G,20,20,612,41.6,28.9,74.1,239,87,209,22,76,43,58,28,74,102,46,68,33,5,saskatchewan,2010
07,Amy Lackie,Jr,G,20,-,217,46.7,30.8,85.7,38,14,30,4,13,6,7,2,12,14,25,14,11,0,saskatchewan,2010
08,Brittany Bodnar,Fr,G,8,-,49,66.7,66.7,100.0,8,2,3,2,3,2,2,0,2,2,5,8,3,0,saskatchewan,2010
09,Marci Kiselyk,Sr,F,20,19,417,44.1,16.7,48.6,109,45,102,2,12,17,35,43,40,83,15,35,19,1,saskatchewan,2010
10,Alicia Wilson,Sr,F,20,1,322,47.7,-,52.7,113,42,88,0,0,29,55,31,42,73,21,28,17,4,saskatchewan,2010
11,Lindsay Copeland,Jr,F,18,6,229,38.0,30.0,57.1,87,35,92,9,30,8,14,19,31,50,14,23,7,7,saskatchewan,2010
12,Lauren Whyte,Sr,G,19,-,158,30.9,29.0,88.9,51,17,55,9,31,8,9,6,19,25,7,12,8,0,saskatchewan,2010
13,Erica Gavel,Fr,G,17,1,110,27.8,0.0,90.0,19,5,18,0,5,9,10,3,12,15,2,13,5,2,saskatchewan,2010
15,Jana Spindler,Sr,P,20,13,399,55.4,20.0,69.0,165,62,112,1,5,40,58,23,69,92,15,48,18,15,saskatchewan,2010
02,Kali Ellis,Sr,G,18,13,388,25.8,14.8,58.5,101,33,128,4,27,31,53,34,43,77,12,37,8,0,thompsonrivers,2010
04,Kaitlyn Widsten,Jr,G,18,18,551,41.3,35.8,74.5,215,78,189,24,67,35,47,19,56,75,35,69,38,2,thompsonrivers,2010
05,Alex Allen,So,G,16,-,103,42.9,0.0,78.9,27,6,14,0,2,15,19,2,3,5,4,12,4,0,thompsonrivers,2010
07,Kayla Forsyth,Jr,F,17,-,161,32.1,29.4,68.8,50,17,53,5,17,11,16,8,14,22,5,26,4,0,thompsonrivers,2010
08,Jen Ju,So,P,18,18,566,33.8,29.3,61.3,219,76,225,29,99,38,62,9,44,53,56,109,27,1,thompsonrivers,2010
10,Tracy Kocs,So,F,18,18,488,32.4,24.7,75.0,161,56,173,19,77,30,40,31,54,85,34,62,32,7,thompsonrivers,2010
11,Lindsay Dekoff,So,F,18,2,265,43.4,40.6,62.5,90,36,83,13,32,5,8,20,42,62,8,31,17,2,thompsonrivers,2010
12,Kailey Colonna,Jr,F,16,3,267,39.7,-,50.0,50,23,58,0,0,4,8,26,45,71,7,24,18,18,thompsonrivers,2010
13,Diane Schuetze,So,F,18,18,465,41.6,33.3,73.1,197,62,149,5,15,68,93,31,76,107,11,44,10,14,thompsonrivers,2010
14,Michelle Dimond,Jr,F,18,-,245,32.6,0.0,75.0,31,14,43,0,6,3,4,20,35,55,7,15,6,1,thompsonrivers,2010
02,Emily Knauff,2,g,17,17,541,34.5,26.2,57.1,187,68,197,27,103,24,42,17,48,65,43,76,41,2,trinitywestern,2010
05,Stephanie Carkner,2,g,15,15,456,38.0,16.7,55.0,63,19,50,3,18,22,40,8,21,29,58,44,46,0,trinitywestern,2010
06,Amanda Knauff,5,f,18,18,454,38.2,33.3,56.8,154,66,173,1,3,21,37,36,43,79,22,34,26,6,trinitywestern,2010
07,Rae-Maryse Laljee,1,g,11,3,95,20.0,0.0,62.5,11,3,15,0,2,5,8,2,8,10,3,16,1,1,trinitywestern,2010
08,Jordan Verhoeff,4,g,15,6,192,27.3,0.0,92.9,31,9,33,0,2,13,14,7,9,16,4,24,8,1,trinitywestern,2010
09,Lauren Doubroff,5,f,18,16,557,42.5,37.7,78.7,276,94,221,29,77,59,75,51,88,139,21,82,33,10,trinitywestern,2010
11,Holly Strom,1,f,17,2,213,41.1,25.0,60.0,64,23,56,6,24,12,20,11,21,32,8,20,10,3,trinitywestern,2010
12,Karla Josefson,1,g,12,-,66,9.1,14.3,75.0,6,1,11,1,7,3,4,5,2,7,5,7,3,0,trinitywestern,2010
13,Corina Reimer,4,f,17,3,245,39.1,-,66.7,48,18,46,0,0,12,18,32,39,71,16,26,11,3,trinitywestern,2010
14,Tiffany Olsen,3,f,18,9,426,40.9,0.0,61.8,146,52,127,0,4,42,68,34,57,91,17,46,21,8,trinitywestern,2010
15,Keely Goertzen,2,f,18,1,288,27.6,31.8,58.8,66,21,76,14,44,10,17,5,34,39,13,55,12,2,trinitywestern,2010
04,Chloee St. amour,1,G,17,-,180,36.1,33.3,60.0,36,13,36,7,21,3,5,7,8,15,29,16,7,0,ubc,2010
05,Arianne Duchesne,2,G,16,2,235,36.8,39.3,68.4,74,25,68,11,28,13,19,9,21,30,23,34,13,0,ubc,2010
07,Candace Morisset,5,G,18,15,505,31.8,32.3,57.1,96,34,107,20,62,8,14,9,50,59,67,45,58,4,ubc,2010
08,Lia St. pierre,2,G,18,16,495,49.2,50.0,75.0,239,91,185,21,42,36,48,45,34,79,63,53,24,1,ubc,2010
09,Devan Lisson,4,G,18,17,560,37.6,35.1,75.0,159,56,149,26,74,21,28,2,58,60,56,41,23,4,ubc,2010
11,Montanna Dunmore,4,P,18,1,269,53.3,-,51.3,84,32,60,0,0,20,39,37,32,69,9,19,6,3,ubc,2010
12,Zara Huntley,3,P,18,17,440,46.1,0.0,72.8,247,94,204,0,1,59,81,48,93,141,19,44,10,30,ubc,2010
13,Alex Vieweg,3,F,18,17,473,52.9,33.3,72.7,235,99,187,5,15,32,44,26,80,106,34,47,38,18,ubc,2010
14,Virginia Watson,4,F,13,-,82,16.7,0.0,0.0,4,2,12,0,6,0,2,3,4,7,2,6,4,0,ubc,2010
15,Leigh Stansfield,2,P,18,-,303,48.6,0.0,55.9,121,51,105,0,2,19,34,23,44,67,11,29,9,10,ubc,2010
21,Victoria Spangehl,1,F,11,-,66,20.0,-,75.0,7,2,10,0,0,3,4,7,11,18,2,7,2,0,ubc,2010
04,Courtney Bartel,Fr,G,18,11,444,31.2,6.3,66.7,105,43,138,3,48,16,24,30,48,78,32,55,33,0,ufv,2010
05,Jane Meadwell,Sr,G,18,18,592,37.1,29.0,83.9,351,96,259,18,62,141,168,28,61,89,30,53,34,1,ufv,2010
10,Tessa Hart,Fr,G,17,5,370,25.4,31.4,62.1,92,29,114,16,51,18,29,21,25,46,11,43,12,0,ufv,2010
14,Lauren Rieu,So,F,18,3,374,38.8,0.0,72.7,68,26,67,0,7,16,22,20,37,57,15,29,6,1,ufv,2010
15,Ashley Smith,Fr,F,16,2,231,26.7,0.0,42.9,30,12,45,0,1,6,14,17,42,59,3,20,2,2,ufv,2010
22,Alyssa Gaukel,Jr,F,18,16,437,36.5,32.9,81.5,163,58,159,25,76,22,27,21,56,77,21,47,14,1,ufv,2010
23,Aieisha Luyken,Fr,G,18,15,529,25.4,24.2,65.9,132,45,177,15,62,27,41,10,51,61,35,75,18,3,ufv,2010
24,Nicole Wierks,Fr,F,17,13,378,38.1,-,68.0,91,37,97,0,0,17,25,44,41,85,12,28,10,2,ufv,2010
25,Sam Kurath,Fr,F,14,7,168,37.1,-,50.0,30,13,35,0,0,4,8,9,17,26,2,16,3,0,ufv,2010
04,Michelle Lee,4,,17,-,246,31.8,26.7,55.6,37,14,44,4,15,5,9,4,26,30,23,14,10,1,victoria,2010
05,Carmen Lapthorne,3,,18,18,585,44.1,29.7,44.4,152,63,143,22,74,4,9,5,43,48,33,27,27,6,victoria,2010
06,Debbie Yeboah,2,,18,18,539,40.4,30.9,85.0,267,91,225,17,55,68,80,12,57,69,47,63,28,0,victoria,2010
09,Allison Mulock,1,,10,-,38,33.3,25.0,50.0,6,2,6,1,4,1,2,1,1,2,1,0,1,0,victoria,2010
11,Jane Anholt,4,,18,3,236,37.7,0.0,58.3,61,20,53,0,8,21,36,8,35,43,30,41,20,0,victoria,2010
12,Natalie Janssens,2,,18,4,230,41.0,-,57.7,65,25,61,0,0,15,26,23,34,57,1,27,4,7,victoria,2010
13,Kristen Hughes,3,,18,11,475,44.0,43.5,74.4,169,55,125,30,69,29,39,4,38,42,21,20,20,0,victoria,2010
14,Kayla Dykstra,4,,18,18,583,56.4,-,76.3,275,115,204,0,0,45,59,74,94,168,35,62,19,9,victoria,2010
15,Vanessa Forstbauer,4,,18,18,530,46.3,25.0,59.3,171,68,147,3,12,32,54,45,63,108,40,43,26,2,victoria,2010
20,Sarah Semeniuk,1,,10,-,44,66.7,-,50.0,10,4,6,0,0,2,4,2,3,5,1,2,0,0,victoria,2010
21,Elyse Matthews,1,,12,-,133,20.0,25.0,33.3,15,6,30,1,4,2,6,8,13,21,8,9,3,0,victoria,2010
03,Alex Maciver,Sr,P,20,20,504,55.9,-,56.7,176,71,127,0,0,34,60,63,64,127,7,35,10,2,winnipeg,2010
04,Caitlin Gooch,Sr,G,15,15,500,38.9,37.8,82.2,241,72,185,37,98,60,73,14,50,64,35,38,28,0,winnipeg,2010
